experience	health	skill_points
2070338200	6120	1505
2097912007	6140	1510
2125760433	6160	1515
2153885296	6180	1520
2182288420	6200	1525
2210971635	6220	1530
2239936777	6240	1535
2269185688	6260	1540
2298720216	6280	1545
2328542215	6300	1550
2358653545	6320	1555
2389056072	6340	1560
2419751668	6360	1565
2450742211	6380	1570
2482029585	6400	1575
2513615680	6420	1580
2545502392	6440	1585
2577691623	6460	1590
2610185281	6480	1595
2642985280	6500	1600
2676093540	6520	1605
2709511987	6540	1610
2743242553	6560	1615
2777287176	6580	1620
2811647800	6600	1625
2846326375	6620	1630
2881324857	6640	1635
2916645208	6660	1640
2952289396	6680	1645
2988259395	6700	1650
3024557185	6720	1655
3061184752	6740	1660
3098144088	6760	1665
3135437191	6780	1670
3173066065	6800	1675
3211032720	6820	1680
3249339172	6840	1685
3287987443	6860	1690
3326979561	6880	1695
3366317560	6900	1700
3406003480	6920	1705
3446039367	6940	1710
3486427273	6960	1715
3527169256	6980	1720
3568267380	7000	1725
3609723715	7020	1730
3651540337	7040	1735
3693719328	7060	1740
3736262776	7080	1745
3779172775	7100	1750
3822451425	7120	1755
3866100832	7140	1760
3910123108	7160	1765
3954520371	7180	1770
3999294745	7200	1775
4044448360	7220	1780
4089983352	7240	1785
4135901863	7260	1790
4182206041	7280	1795
4228898040	7300	1800
4275980020	7320	1805
4323454147	7340	1810
4371322593	7360	1815
4419587536	7380	1820
4468251160	7400	1825
4517315655	7420	1830
4566783217	7440	1835
4616656048	7460	1840
4666936356	7480	1845
4717626355	7500	1850
4768728265	7520	1855
4820244312	7540	1860
4872176728	7560	1865
4924527751	7580	1870
4977299625	7600	1875
5030494600	7620	1880
5084114932	7640	1885
5138162883	7660	1890
5192640721	7680	1895
5247550720	7700	1900
5302895160	7720	1905
5358676327	7740	1910
5414896513	7760	1915
5471558016	7780	1920
5528663140	7800	1925
5586214195	7820	1930
5644213497	7840	1935
5702663368	7860	1940
5761566136	7880	1945
5820924135	7900	1950
5880739705	7920	1955
5941015192	7940	1960
6001752948	7960	1965
6062955331	7980	1970
6124624705	8000	1975
6186763440	8020	1980
6249373912	8040	1985
6312458503	8060	1990
6376019601	8080	1995
6440059600	8100	2000
6504580900	8120	2005
6569585907	8140	2010
6635077033	8160	2015
6701056696	8180	2020
6767527320	8200	2025
6834491335	8220	2030
6901951177	8240	2035
6969909288	8260	2040
7038368116	8280	2045
7107330115	8300	2050
7176797745	8320	2055
7246773472	8340	2060
7317259768	8360	2065
7388259111	8380	2070
7459773985	8400	2075
7531806880	8420	2080
7604360292	8440	2085
7677436723	8460	2090
7751038681	8480	2095
7825168680	8500	2100
7899829240	8520	2105
7975022887	8540	2110
8050752153	8560	2115
8127019576	8580	2120
8203827700	8600	2125
8281179075	8620	2130
8359076257	8640	2135
8437521808	8660	2140
8516518296	8680	2145
8596068295	8700	2150
8676174385	8720	2155
8756839152	8740	2160
8838065188	8760	2165
8919855091	8780	2170
9002211465	8800	2175
9085136920	8820	2180
9168634072	8840	2185
9252705543	8860	2190
9337353961	8880	2195
9422581960	8900	2200
9508392180	8920	2205
9594787267	8940	2210
9681769873	8960	2215
9769342656	8980	2220
9857508280	9000	2225
9946269415	9020	2230
10035628737	9040	2235
10125588928	9060	2240
10216152676	9080	2245
10307322675	9100	2250
10399101625	9120	2255
10491492232	9140	2260
10584497208	9160	2265
10678119271	9180	2270
10772361145	9200	2275
10867225560	9220	2280
10962715252	9240	2285
11058832963	9260	2290
11155581441	9280	2295
11252963440	9300	2300
11350981720	9320	2305
11449639047	9340	2310
11548938193	9360	2315
11648881936	9380	2320
11749473060	9400	2325
11850714355	9420	2330
11952608617	9440	2335
12055158648	9460	2340
12158367256	9480	2345
12262237255	9500	2350
12366771465	9520	2355
12471972712	9540	2360
12577843828	9560	2365
12684387651	9580	2370
12791607025	9600	2375
12899504800	9620	2380
13008083832	9640	2385
13117346983	9660	2390
13227297121	9680	2395
13337937120	9700	2400
13449269860	9720	2405
13561298227	9740	2410
13674025113	9760	2415
13787453416	9780	2420
13901586040	9800	2425
14016425895	9820	2430
14131975897	9840	2435
14248238968	9860	2440
14365218036	9880	2445
14482916035	9900	2450
14601335905	9920	2455
14720480592	9940	2460
14840353048	9960	2465
14960956231	9980	2470
15082293105	10000	2475
15204366640	10020	2480
15327179812	10040	2485
15450735603	10060	2490
15575037001	10080	2495
15700087000	10100	2500
15825888600	10120	2505
15952444807	10140	2510
16079758633	10160	2515
16207833096	10180	2520
16336671220	10200	2525
16466276035	10220	2530
16596650577	10240	2535
16727797888	10260	2540
16859721016	10280	2545
16992423015	10300	2550
17125906945	10320	2555
17260175872	10340	2560
17395232868	10360	2565
17531081011	10380	2570
17667723385	10400	2575
17805163080	10420	2580
17943403192	10440	2585
18082446823	10460	2590
18222297081	10480	2595
18362957080	10500	2600
18504429940	10520	2605
18646718787	10540	2610
18789826753	10560	2615
18933756976	10580	2620
19078512600	10600	2625
19224096775	10620	2630
19370512657	10640	2635
19517763408	10660	2640
19665852196	10680	2645
19814782195	10700	2650
19964556585	10720	2655
20115178552	10740	2660
20266651288	10760	2665
20418977991	10780	2670
20572161865	10800	2675
20726206120	10820	2680
20881113972	10840	2685
21036888643	10860	2690
21193533361	10880	2695
21351051360	10900	2700
21509445880	10920	2705
21668720167	10940	2710
21828877473	10960	2715
21989921056	10980	2720
22151854180	11000	2725
22314680115	11020	2730
22478402137	11040	2735
22643023528	11060	2740
22808547576	11080	2745
22974977575	11100	2750
23142316825	11120	2755
23310568632	11140	2760
23479736308	11160	2765
23649823171	11180	2770
23820832545	11200	2775
23992767760	11220	2780
24165632152	11240	2785
24339429063	11260	2790
24514161841	11280	2795
24689833840	11300	2800
24866448420	11320	2805
25044008947	11340	2810
25222518793	11360	2815
25401981336	11380	2820
25582399960	11400	2825
25763778055	11420	2830
25946119017	11440	2835
26129426248	11460	2840
26313703156	11480	2845
26498953155	11500	2850
26685179665	11520	2855
26872386112	11540	2860
27060575928	11560	2865
27249752551	11580	2870
27439919425	11600	2875
27631080000	11620	2880
27823237732	11640	2885
28016396083	11660	2890
28210558521	11680	2895
28405728520	11700	2900
28601909560	11720	2905
28799105127	11740	2910
28997318713	11760	2915
29196553816	11780	2920
29396813940	11800	2925
29598102595	11820	2930
29800423297	11840	2935
30003779568	11860	2940
30208174936	11880	2945
30413612935	11900	2950
30620097105	11920	2955
30827630992	11940	2960
31036218148	11960	2965
31245862131	11980	2970
31456566505	12000	2975
31668334840	12020	2980
31881170712	12040	2985
32095077703	12060	2990
32310059401	12080	2995
32526119400	12100	3000
32743261300	12120	3005
32961488707	12140	3010
33180805233	12160	3015
33401214496	12180	3020
33622720120	12200	3025
33845325735	12220	3030
34069034977	12240	3035
34293851488	12260	3040
34519778916	12280	3045
34746820915	12300	3050
34974981145	12320	3055
35204263272	12340	3060
35434670968	12360	3065
35666207911	12380	3070
35898877785	12400	3075
36132684280	12420	3080
36367631092	12440	3085
36603721923	12460	3090
36840960481	12480	3095
37079350480	12500	3100
37318895640	12520	3105
37559599687	12540	3110
37801466353	12560	3115
38044499376	12580	3120
38288702500	12600	3125
38534079475	12620	3130
38780634057	12640	3135
39028370008	12660	3140
39277291096	12680	3145
39527401095	12700	3150
39778703785	12720	3155
40031202952	12740	3160
40284902388	12760	3165
40539805891	12780	3170
40795917265	12800	3175
41053240320	12820	3180
41311778872	12840	3185
41571536743	12860	3190
41832517761	12880	3195
42094725760	12900	3200
42358164580	12920	3205
42622838067	12940	3210
42888750073	12960	3215
43155904456	12980	3220
43424305080	13000	3225
43693955815	13020	3230
43964860537	13040	3235
44237023128	13060	3240
44510447476	13080	3245
44785137475	13100	3250
45061097025	13120	3255
45338330032	13140	3260
45616840408	13160	3265
45896632071	13180	3270
46177708945	13200	3275
46460074960	13220	3280
46743734052	13240	3285
47028690163	13260	3290
47314947241	13280	3295
47602509240	13300	3300
47891380120	13320	3305
48181563847	13340	3310
48473064393	13360	3315
48765885736	13380	3320
49060031860	13400	3325
49355506755	13420	3330
49652314417	13440	3335
49950458848	13460	3340
50249944056	13480	3345
50550774055	13500	3350
50852952865	13520	3355
51156484512	13540	3360
51461373028	13560	3365
51767622451	13580	3370
52075236825	13600	3375
52384220200	13620	3380
52694576632	13640	3385
53006310183	13660	3390
53319424921	13680	3395
53633924920	13700	3400
53949814260	13720	3405
54267097027	13740	3410
54585777313	13760	3415
54905859216	13780	3420
55227346840	13800	3425
55550244295	13820	3430
55874555697	13840	3435
56200285168	13860	3440
56527436836	13880	3445
56856014835	13900	3450
57186023305	13920	3455
57517466392	13940	3460
57850348248	13960	3465
58184673031	13980	3470
58520444905	14000	3475
58857668040	14020	3480
59196346612	14040	3485
59536484803	14060	3490
59878086801	14080	3495
60221156800	14100	3500
60565699000	14120	3505
60911717607	14140	3510
61259216833	14160	3515
61608200896	14180	3520
61958674020	14200	3525
62310640435	14220	3530
62664104377	14240	3535
63019070088	14260	3540
63375541816	14280	3545
63733523815	14300	3550
64093020345	14320	3555
64454035672	14340	3560
64816574068	14360	3565
65180639811	14380	3570
65546237185	14400	3575
65913370480	14420	3580
66282043992	14440	3585
66652262023	14460	3590
67024028881	14480	3595
67397348880	14500	3600
67772226340	14520	3605
68148665587	14540	3610
68526670953	14560	3615
68906246776	14580	3620
69287397400	14600	3625
69670127175	14620	3630
70054440457	14640	3635
70440341608	14660	3640
70827834996	14680	3645
71216924995	14700	3650
71607615985	14720	3655
71999912352	14740	3660
72393818488	14760	3665
72789338791	14780	3670
73186477665	14800	3675
73585239520	14820	3680
73985628772	14840	3685
74387649843	14860	3690
74791307161	14880	3695
75196605160	14900	3700
75603548280	14920	3705
76012140967	14940	3710
76422387673	14960	3715
76834292856	14980	3720
77247860980	15000	3725
77663096515	15020	3730
78080003937	15040	3735
78498587728	15060	3740
78918852376	15080	3745
79340802375	15100	3750
79764442225	15120	3755
80189776432	15140	3760
80616809508	15160	3765
81045545971	15180	3770
81475990345	15200	3775
81908147160	15220	3780
82342020952	15240	3785
82777616263	15260	3790
83214937641	15280	3795
83653989640	15300	3800
84094776820	15320	3805
84537303747	15340	3810
84981574993	15360	3815
85427595136	15380	3820
85875368760	15400	3825
86324900455	15420	3830
86776194817	15440	3835
87229256448	15460	3840
87684089956	15480	3845
88140699955	15500	3850
88599091065	15520	3855
89059267912	15540	3860
89521235128	15560	3865
89984997351	15580	3870
90450559225	15600	3875
90917925400	15620	3880
91387100532	15640	3885
91858089283	15660	3890
92330896321	15680	3895
92805526320	15700	3900
93281983960	15720	3905
93760273927	15740	3910
94240400913	15760	3915
94722369616	15780	3920
95206184740	15800	3925
95691850995	15820	3930
96179373097	15840	3935
96668755768	15860	3940
97160003736	15880	3945
97653121735	15900	3950
98148114505	15920	3955
98644986792	15940	3960
99143743348	15960	3965
99644388931	15980	3970
100146928305	16000	3975
100651366240	16020	3980
101157707512	16040	3985
101665956903	16060	3990
102176119201	16080	3995
102688199200	16100	4000
103202201700	16120	4005
103718131507	16140	4010
104235993433	16160	4015
104755792296	16180	4020
105277532920	16200	4025
105801220135	16220	4030
106326858777	16240	4035
106854453688	16260	4040
107384009716	16280	4045
107915531715	16300	4050
108449024545	16320	4055
108984493072	16340	4060
109521942168	16360	4065
110061376711	16380	4070
110602801585	16400	4075
111146221680	16420	4080
111691641892	16440	4085
112239067123	16460	4090
112788502281	16480	4095
113339952280	16500	4100
113893422040	16520	4105
114448916487	16540	4110
115006440553	16560	4115
115565999176	16580	4120
116127597300	16600	4125
116691239875	16620	4130
117256931857	16640	4135
117824678208	16660	4140
118394483896	16680	4145
118966353895	16700	4150
119540293185	16720	4155
120116306752	16740	4160
120694399588	16760	4165
121274576691	16780	4170
121856843065	16800	4175
122441203720	16820	4180
123027663672	16840	4185
123616227943	16860	4190
124206901561	16880	4195
124799689560	16900	4200
125394596980	16920	4205
125991628867	16940	4210
126590790273	16960	4215
127192086256	16980	4220
127795521880	17000	4225
128401102215	17020	4230
129008832337	17040	4235
129618717328	17060	4240
130230762276	17080	4245
130844972275	17100	4250
131461352425	17120	4255
132079907832	17140	4260
132700643608	17160	4265
133323564871	17180	4270
133948676745	17200	4275
134575984360	17220	4280
135205492852	17240	4285
135837207363	17260	4290
136471133041	17280	4295
137107275040	17300	4300
137745638520	17320	4305
138386228647	17340	4310
139029050593	17360	4315
139674109536	17380	4320
140321410660	17400	4325
140970959155	17420	4330
141622760217	17440	4335
142276819048	17460	4340
142933140856	17480	4345
143591730855	17500	4350
144252594265	17520	4355
144915736312	17540	4360
145581162228	17560	4365
146248877251	17580	4370
146918886625	17600	4375
147591195600	17620	4380
148265809432	17640	4385
148942733383	17660	4390
149621972721	17680	4395
150303532720	17700	4400
150987418660	17720	4405
151673635827	17740	4410
152362189513	17760	4415
153053085016	17780	4420
153746327640	17800	4425
154441922695	17820	4430
155139875497	17840	4435
155840191368	17860	4440
156542875636	17880	4445
157247933635	17900	4450
157955370705	17920	4455
158665192192	17940	4460
159377403448	17960	4465
160092009831	17980	4470
160809016705	18000	4475
161528429440	18020	4480
162250253412	18040	4485
162974494003	18060	4490
163701156601	18080	4495
164430246600	18100	4500
165161769400	18120	4505
165895730407	18140	4510
166632135033	18160	4515
167370988696	18180	4520
168112296820	18200	4525
168856064835	18220	4530
169602298177	18240	4535
170351002288	18260	4540
171102182616	18280	4545
171855844615	18300	4550
172611993745	18320	4555
173370635472	18340	4560
174131775268	18360	4565
174895418611	18380	4570
175661570985	18400	4575
176430237880	18420	4580
177201424792	18440	4585
177975137223	18460	4590
178751380681	18480	4595
179530160680	18500	4600
180311482740	18520	4605
181095352387	18540	4610
181881775153	18560	4615
182670756576	18580	4620
183462302200	18600	4625
184256417575	18620	4630
185053108257	18640	4635
185852379808	18660	4640
186654237796	18680	4645
187458687795	18700	4650
188265735385	18720	4655
189075386152	18740	4660
189887645688	18760	4665
190702519591	18780	4670
191520013465	18800	4675
192340132920	18820	4680
193162883572	18840	4685
193988271043	18860	4690
194816300961	18880	4695
195646978960	18900	4700
196480310680	18920	4705
197316301767	18940	4710
198154957873	18960	4715
198996284656	18980	4720
199840287780	19000	4725
200686972915	19020	4730
201536345737	19040	4735
202388411928	19060	4740
203243177176	19080	4745
204100647175	19100	4750
204960827625	19120	4755
205823724232	19140	4760
206689342708	19160	4765
207557688771	19180	4770
208428768145	19200	4775
209302586560	19220	4780
210179149752	19240	4785
211058463463	19260	4790
211940533441	19280	4795
212825365440	19300	4800
213712965220	19320	4805
214603338547	19340	4810
215496491193	19360	4815
216392428936	19380	4820
217291157560	19400	4825
218192682855	19420	4830
219097010617	19440	4835
220004146648	19460	4840
220914096756	19480	4845
221826866755	19500	4850
222742462465	19520	4855
223660889712	19540	4860
224582154328	19560	4865
225506262151	19580	4870
226433219025	19600	4875
227363030800	19620	4880
228295703332	19640	4885
229231242483	19660	4890
230169654121	19680	4895
231110944120	19700	4900
232055118360	19720	4905
233002182727	19740	4910
233952143113	19760	4915
234905005416	19780	4920
235860775540	19800	4925
236819459395	19820	4930
237781062897	19840	4935
238745591968	19860	4940
239713052536	19880	4945
240683450535	19900	4950
241656791905	19920	4955
242633082592	19940	4960
243612328548	19960	4965
244594535731	19980	4970
245579710105	20000	4975
246567857640	20020	4980
247558984312	20040	4985
248553096103	20060	4990
249550199001	20080	4995
