id	name	animation_id	mesh_id	color_id	projectile_id	particlegroup_id	soundgroup_id	itemdrop_id	drop_count	health	health_level	ai_type	ai_attacks	view_range	xp	xp_level	freepathing	move_speed	move_speed_level	radius	scale	accuracy	attack_range	damage	damage_level	damage_spread	attack_period	weapon_type	attack_movespeed	poison	projectile_speed	mass	force
monster_gunner	Mercenary	gunner				monster	gunner	monster_special	1	50	25	3	0	25	16	8	0	2	0.08	0.3	1	15	15	18	9	0.1	1.5	2	0	0	0	1.35	0
monster_wisp	Wisp	wisp		ghost		monster	wisp	monster_large	1	100	50	5	0	15	24	12	1	0.75	0.01	0.4	1.5	0	3	30	15	0.1	1	1	0.6	0	0	3	-0.05
monster_demon	Demon	demon			fireball	monster	demon	monster_special	1	90	45	3	0	25	30	15	0	1.5	0.05	0.3	2.5	5	15	30	15	0.1	2	1	0	0	15	1.25	0.02
monster_alien	Alien	alien			plasma	monster	alien	monster_special	1	80	40	3	0	25	30	15	0	2	0.05	0.3	1	10	15	32	16	0.1	1.4	2	0	0	20	1.15	0.02
monster_bot	Robot	bot				monster	bot	monster_medium	1	70	35	3	0	20	20	10	0	1	0.07	0.3	1	0	0.9	24	12	0.1	0.7	1	0.25	0	0	2.5	0.04
boss_01	Zombie Chieftain	zombie		dark		monster	zombie	boss	1	500	250	2	0	50	500	250	0	1	0.1	0.4	1.5	0	1.2	35	25	0.1	1.7	1	0.5	0	0	2	-0.1
boss_02	Black Wolf	dog		dark		monster	dog	boss	1	250	150	4	3	50	1000	500	0	9	0.05	0.3	1.2	0	1.2	50	15	0.1	0.9	1	0.4	0	0	0.5	-0.05
boss_03	Froz	beast		blue		monster	beast	boss	1	2500	1000	2	0	50	5000	2500	0	2.3	0.05	0.7	5	0	3	150	75	0.1	1.25	1	0.3	0	0	5	0.2
boss_04	Arach	spider		green		monster	spider	boss	1	5000	1500	2	0	50	10000	5000	0	3.5	0.05	0.5	2	0	1.2	175	80	0.1	1	1	0.25	1.25	0	1	0
boss_05	Vir	bat		purple_dark		monster	bat	boss	1	7500	2000	2	0	50	15000	7500	0	4	0.05	0.4	1.5	0	1	200	100	0.1	1.2	1	0.3	0.5	0	1	0
boss_06	Tor	skeleton		brick	bone	monster	skeleton	boss	1	12500	2500	2	0	50	25000	12500	0	2	0.05	0.4	2	5	20	225	110	0.1	1.5	1	0.4	1	7	2.5	0.1
boss_07a	Charl	fighter		brown		monster	fighter	boss	1	15000	5000	2	0	50	30000	15000	0	3	0.05	0.5	2.5	0	1.5	200	100	0.1	0.5	1	0.4	0	0	3.5	0.2
boss_07b	Luth	gunner		gold		monster	gunner	boss	1	10000	3500	2	0	50	25000	12500	0	3.25	0.05	0.5	2.25	15	25	150	100	0.1	2	2	0	0	0	3.5	0.1
boss_08	Mas	wisp		black		monster	wisp	boss	1	20000	7500	5	0	50	40000	20000	1	1.5	0.05	1.5	7	0	5	250	125	0.1	2	1	0.8	0	0	5	-0.1
boss_09	Daethor	demon		red	fireball_large	monster	demon	boss	1	25000	10000	2	0	50	50000	25000	0	2.5	0.05	0.3	5	3	25	300	150	0.1	2.5	1	0	0	15	2.5	0.1
boss_10a	Xau	alien			plasma_large	monster	alien	boss	1	30000	15000	2	0	50	60000	30000	0	3	0.05	0.5	2	3	25	350	175	0.1	2	2	0	0	20	3.5	0.05
boss_10b	Cy	bot				monster	bot	boss	1	30000	15000	2	0	50	60000	30000	0	2.5	0.05	0.5	2	0	2	500	250	0.1	1.5	1	0.25	0	0	5	0.1
