identifier	parent	style	hover style	offset x	offset y	width	height	alignment x	alignment y	index
button_editor_mode_event	element_editor_command	style_editor_event	style_editor_button_selected	400	0	32	32	0	0	10
button_editor_mode_mons	element_editor_command	style_editor_mons	style_editor_button_selected	434	0	32	32	0	0	11
button_editor_mode_item	element_editor_command	style_editor_item	style_editor_button_selected	468	0	32	32	0	0	12
button_editor_mode_ammo	element_editor_command	style_editor_ammo	style_editor_button_selected	502	0	32	32	0	0	13
button_editor_mode_mod	element_editor_command	style_editor_mod	style_editor_button_selected	536	0	32	32	0	0	14
button_editor_mode_weap	element_editor_command	style_editor_weap	style_editor_button_selected	570	0	32	32	0	0	15
button_editor_mode_arm	element_editor_command	style_editor_arm	style_editor_button_selected	604	0	32	32	0	0	16
button_editor_none	element_editor_command	style_editor_none	style_editor_button_selected	0	34	32	32	0	0	17
button_editor_del	element_editor_command	style_editor_del	style_editor_button_selected	34	34	32	32	0	0	18
button_editor_copy	element_editor_command	style_editor_copy	style_editor_button_selected	68	34	32	32	0	0	19
button_editor_paste	element_editor_command	style_editor_paste	style_editor_button_selected	102	34	32	32	0	0	20
button_editor_show	element_editor_command	style_editor_show	style_editor_button_selected	136	34	32	32	0	0	21
button_editor_undo	element_editor_command	style_editor_undo	style_editor_button_selected	0	68	32	32	0	0	22
button_editor_new	element_editor_command	style_editor_new	style_editor_button_selected	34	68	32	32	0	0	23
button_editor_grid	element_editor_command	style_editor_grid	style_editor_button_selected	68	68	32	32	0	0	24
button_editor_mset	element_editor_command	style_editor_mset	style_editor_button_selected	102	68	32	32	0	0	25
button_editor_load	element_editor_command	style_editor_load	style_editor_button_selected	136	68	32	32	0	0	26
button_editor_save	element_editor_command	style_editor_save	style_editor_button_selected	170	68	32	32	0	0	27
button_editor_test	element_editor_command	style_editor_test	style_editor_button_selected	204	68	32	32	0	0	28
button_editor_walk	element_editor_blocks	style_editor_walk	style_editor_button_selected	0	0	32	32	0	0	0
button_editor_rotate	element_editor_blocks	style_editor_rotate	style_editor_button_selected	34	0	32	32	0	0	1
button_editor_mirror	element_editor_blocks	style_editor_mirror	style_editor_button_selected	68	0	32	32	0	0	2
button_editor_raise	element_editor_blocks	style_editor_raise	style_editor_button_selected	102	0	32	32	0	0	3
button_editor_lower	element_editor_blocks	style_editor_lower	style_editor_button_selected	136	0	32	32	0	0	4
button_editor_tile	element_editor_events	style_editor_tile		0	0	32	32	0	0	0
button_editor_levelup	element_editor_events	style_editor_levelup	style_editor_button_selected	34	0	32	32	0	0	1
button_editor_leveldown	element_editor_events	style_editor_leveldown	style_editor_button_selected	68	0	32	32	0	0	2
button_editor_periodup	element_editor_events	style_editor_periodup	style_editor_button_selected	102	0	32	32	0	0	3
button_editor_perioddown	element_editor_events	style_editor_perioddown	style_editor_button_selected	136	0	32	32	0	0	4
button_editor_active	element_editor_events	style_editor_active	style_editor_button_selected	170	0	32	32	0	0	5
button_editor_itemidentifier	element_editor_events	style_editor_itemidentifier	style_editor_button_selected	204	0	32	32	0	0	6
button_editor_monsidentifier	element_editor_events	style_editor_monsidentifier	style_editor_button_selected	238	0	32	32	0	0	7
button_editor_partidentifier	element_editor_events	style_editor_partidentifier	style_editor_button_selected	272	0	32	32	0	0	8
button_inventory_armor	element_inventory	style_hud_inventory_armor		150	210	48	48	0	0	-1
button_inventory_mainhand	element_inventory	style_hud_inventory_gun		0	210	48	48	0	0	-1
button_inventory_offhand	element_inventory	style_hud_inventory_gun		50	210	48	48	0	0	-1
button_inventory_melee	element_inventory	style_hud_inventory_melee		100	210	48	48	0	0	-1
button_inventory_bag0	element_inventory	style_hud_inventory		0	0	48	48	0	0	-1
button_inventory_bag1	element_inventory	style_hud_inventory		50	0	48	48	0	0	-1
button_inventory_bag2	element_inventory	style_hud_inventory		100	0	48	48	0	0	-1
button_inventory_bag3	element_inventory	style_hud_inventory		150	0	48	48	0	0	-1
button_inventory_bag4	element_inventory	style_hud_inventory		0	50	48	48	0	0	-1
button_inventory_bag5	element_inventory	style_hud_inventory		50	50	48	48	0	0	-1
button_inventory_bag6	element_inventory	style_hud_inventory		100	50	48	48	0	0	-1
button_inventory_bag7	element_inventory	style_hud_inventory		150	50	48	48	0	0	-1
button_inventory_bag8	element_inventory	style_hud_inventory		0	100	48	48	0	0	-1
button_inventory_bag9	element_inventory	style_hud_inventory		50	100	48	48	0	0	-1
button_inventory_bag10	element_inventory	style_hud_inventory		100	100	48	48	0	0	-1
button_inventory_bag11	element_inventory	style_hud_inventory		150	100	48	48	0	0	-1
button_inventory_bag12	element_inventory	style_hud_inventory		0	150	48	48	0	0	-1
button_inventory_bag13	element_inventory	style_hud_inventory		50	150	48	48	0	0	-1
button_inventory_bag14	element_inventory	style_hud_inventory		100	150	48	48	0	0	-1
button_inventory_bag15	element_inventory	style_hud_inventory		150	150	48	48	0	0	-1
button_skills_plus0	element_skills	style_hud_plus	style_hud_plus_hover	75	30	16	16	0	0	-1
button_skills_plus1	element_skills	style_hud_plus	style_hud_plus_hover	75	60	16	16	0	0	-1
button_skills_plus2	element_skills	style_hud_plus	style_hud_plus_hover	75	90	16	16	0	0	-1
button_skills_plus3	element_skills	style_hud_plus	style_hud_plus_hover	75	120	16	16	0	0	-1
button_skills_plus4	element_skills	style_hud_plus	style_hud_plus_hover	75	150	16	16	0	0	-1
button_skills_plus5	element_skills	style_hud_plus	style_hud_plus_hover	75	180	16	16	0	0	-1
button_skills_plus6	element_skills	style_hud_plus	style_hud_plus_hover	75	210	16	16	0	0	-1
button_skills_plus7	element_skills	style_hud_plus	style_hud_plus_hover	75	240	16	16	0	0	-1
button_skills_plus8	element_skills	style_hud_plus	style_hud_plus_hover	75	270	16	16	0	0	-1
button_skills_hidden	element_skills			75	310	16	16	0	0	-1
